条目编号	标题	处理类型	修改前	修改后	次数	上下文
4	超光速航行 Faster-Than-Light	恢复英文词间空格	the	the 	1	of long-distance transportation in theGalaxy. The technology allows for p
5	亚空间驱动 Warp Drive	恢复英文词间空格	as	as 	1	the human mutant warp-pilots known asNavigators. These mutants allowed w
5	亚空间驱动 Warp Drive	恢复英文词间空格	the	the 	1	"进一步加速了银河系的殖民化。

The Warp Drives of theLeagues of Votannare similar in ope"
6	亚空间跳跃 Warp Jump	Field 对应的错别字	盖勒立场	盖勒力场	1	
7	传送 Teleportation	恢复英文词间空格	to	to 	1	nd units including but not limited toImperialandChaosSpace MarineTermina
7	传送 Teleportation	恢复英文词间空格	the	the 	1	"nators,EldarWarp Spiders, and even theOrks.

传送是一种技术或灵能能力，可以将物体从一个地方移动到另一"
7	传送 Teleportation	恢复英文词间空格	the	the 	1	isky,ArcheotechTeleportariums from theDark Age of Technologyare known to 
7	传送 Teleportation	恢复英文词间空格	in	in 	1	 archeotech teleportariums existed inSubsector Aureliaas well as on theS
7	传送 Teleportation	恢复英文词间空格	the	the 	1	d inSubsector Aureliaas well as on theSpace HulkJudgment of Carrion. Thes
7	传送 Teleportation	恢复英文词间空格	by	by 	1	dgment of Carrion. These were used byApollo Diomedescommanding a force o
7	传送 Teleportation	恢复英文词间空格	of	of 	1	yApollo Diomedescommanding a force ofBlood Ravensin pursuit of the trait
7	传送 Teleportation	恢复英文词间空格	the	the 	1	"rChapter MasterAzariah Kyrasduring theThird Aurelian Crusade.

尽管现代常规的帝国传"
7	传送 Teleportation	恢复英文词间空格	to	to 	1	ort (in this manner, at least) due toWarpexposure, but the heavily prote
7	传送 Teleportation	恢复英文词间空格	their	their 	1	d both by ImperialSpace Marinesand theirChaoscounterparts. The ship-based t
7	传送 Teleportation	恢复英文词间空格	by	by 	1	 by the Terminators are maintained byAstropaths. Using their psychically
7	传送 Teleportation	恢复英文词间空格	the	the 	1	ewarp. Some, mainly the members of theOrdo Malleus, have shown scorn for 
7	传送 Teleportation	恢复英文词间空格	is	is 	1	s Terminator teleportation attacks isCaptainDarnath Lysanderof theImperi
7	传送 Teleportation	恢复英文词间空格	the	the 	1	ttacks isCaptainDarnath Lysanderof theImperial FistsChapter, who is known
7	传送 Teleportation	恢复英文词间空格	the	the 	1	rformed by the Imperial Fists from thePhalanx, the Imperial Fists' massiv
