来源ID,名称,网址,核对方式
GW-01,军队页面-中文,https://warhammer40000.com/zh-hans/the-armies/,网页工具核对；未保存原文件
GW-02,军队页面-英文,https://warhammer40000.com/the-armies/,网页工具核对；未保存原文件
GW-03,设定页面-中文,https://warhammer40000.com/zh-hans/the-setting/,网页工具核对；未保存原文件
GW-04,星界军索引-中文,https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_chi_16.10.pdf,PDF 已下载并提取核对
GW-05,核心规则-中文,https://assets.warhammer-community.com/warhammer40000_core%26key_corerules_chn_24.09-czgt3rq37v.pdf,PDF 已下载并提取核对
GW-06,星际战士阵营包-中文,https://assets.warhammer-community.com/chi_07-01_warhammer_40000_faction_pack_space_marines-ngpzngqdt2-fxbygosrpj.pdf,PDF 已下载并提取核对
GW-09,军务部野战手册-中文,https://assets.warhammer-community.com/chi_06-05_wh40k_core%26key_munitorum_field_manual-5mrlucr2t1-fkybzzzoce.pdf,PDF 已下载并提取核对
GW-10,军务部野战手册-英文,https://assets.warhammer-community.com/eng_warhammer40000_munitorum_field_manual_march_2025-cims9ya3sg-s8j9m2haae.pdf,PDF 已下载并提取核对
GW-11,星界军索引-英文,https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_eng_16.10.pdf,PDF 已下载并提取核对
GW-12,Blood Angels 官方 FAQ（2014）：Glaive Encarmine 剑型与斧型,https://www.blacklibrary.com/downloads/product/pdf/warhammer-40k/7th-faq/blood_angels_v1.0_may14.pdf,官方 PDF 搜索摘录核对武器分类；未提取全文，未核中文译名
GW-13,Warhammer Community：The New Year Preview – Tanks galore for the Legiones Astartes,https://www.warhammer-community.com/en-gb/articles/o0vvkblo/the-new-year-preview-tanks-galore-for-the-legiones-astartes/,官方网页核对 Glaive 坦克类别与武器；非中文定译依据
REF-01,Lexicanum：Glaive,https://wh40k.lexicanum.com/wiki/Glaive,第三方资料核对 Glaive／Fellglaive 英文异名与舰船同名分义；非官方中文依据
REF-02,Lexicanum：Krz’at’tchal,https://wh40k.lexicanum.com/wiki/Krz%27at%27tchal,第三方条目核对该恶魔武器为火焰喷射器，其内封印奸奇火妖；不将二者同形词混淆。
REF-03,Lexicanum：《The Fury of Magnus》人物表,https://wh40k.lexicanum.com/wiki/The_Fury_of_Magnus_%28Novella%29,第三方资料复核Draaksward拼写及三名火蜥蜴护卫身份；中文沿本稿暂定名，未标为官译。
GW-07,索引卡片勘误,https://assets.warhammer-community.com/chi_wh40k_faq%26errata_index_card_errata_dec2024-lleenckupk-zmmg0thexd.pdf,网页工具核对；未保存原文件
GW-08,土星战役与荷鲁斯之乱新版问答,https://www.warhammer-community.com/en-gb/articles/m11ujimg/tu-xing-zhan-yi-yi-yi-jie-da-you-guan-he-lu-si-zhi-luan-xin-ban-ben-de-wen-ti/,网页工具核对；未保存原文件
