英文词	采用中文	状态	来源	说明
lectitio divinitatus	神性论	暂定·官方待核	0026-0100	按原文语境定译；若与核心定译已有项冲突，请主审统一。
lectitio divinitatus	帝皇圣言录／圣言诵读	暂定	0101-0175	书名采用《帝皇圣言录》，相应信仰运动称圣言诵读。
departmento exacta	记校部	暂定·官方待核	既有核心表	
departmento exacta	计校部	暂定·官方待核	0026-0100	按原文语境定译；若与核心定译已有项冲突，请主审统一。
epistolary	书记员	暂定·官方待核	0026-0100	按原文语境定译；若与核心定译已有项冲突，请主审统一。
epistolary	书记官	暂定·官方待核	0176-0250	智库员等级职衔，原译星语官误认身份。
epistolary	星语官	暂定·官方待核	0251-0325	按已逐段核读的具体语境统一；同形普通词不自动替换。
apocrypha of skaros	斯卡罗斯次经	暂定·官方待核	0176-0250	与第232篇标题统一。
apocrypha of skaros	斯卡罗斯外典	暂定·官方待核	0251-0325	按已逐段核读的具体语境统一；同形普通词不自动替换。
librarius	智库学派	暂定·学派语境	既有核心表	指战团机构时译智库，不能一律加学派。
librarius	智库	暂定·官方待核	0251-0325	机构语境为智库；灵能学派语境为智库学派，按语境分开。
techmarine	技术军士	暂定	既有核心表	不是 Tech-Priest 技术祭司。
techmarine	科技战士	官方已核对	0251-0325	按官方中英文同名单位表对应核对；不得扩大到仅名称相近的其他单位。
