英文标准词	采用中文	译名状态	依据	定位	编辑说明
Space Marines	星际战士	官方已核对	GW-01	阵营标题	Space Marine 为单数。
Adeptus Astartes	阿斯塔特修会	官方已核对	GW-05	PDF 第 37 页	组织称谓；不将所有 Space Marine 自动改为本词。
Black Templars	黑色圣堂	官方已核对	GW-01	阵营标题	旧译保留为检索别名。
Blood Angels	圣血天使	官方已核对	GW-01	阵营标题	资料中也出现血天使。
Dark Angels	黑暗天使	官方已核对	GW-01	阵营标题	不能与 Dark Eldar 黑暗灵族混淆。
Deathwatch	死亡守望	官方已核对	GW-01	阵营标题	
Grey Knights	灰骑士	官方已核对	GW-01	阵营标题	
Space Wolves	太空野狼	官方已核对	GW-01	阵营标题	
Adepta Sororitas	修女会	官方已核对	GW-01	阵营标题	Sisters of Battle 可译战斗修女，按英文称谓区分。
Adeptus Custodes	帝皇禁军	官方已核对	GW-01	阵营标题	同段后文可简称禁军。
Adeptus Mechanicus	机械修会	官方已核对	GW-01	阵营标题；英中页面对应	与大远征时期的 Mechanicum 以及宗教概念 Cult Mechanicus 分开处理。
Astra Militarum	星界军	官方已核对	GW-04	PDF 第 1 页及阵营关键词	官方简介页另用帝国卫队；本书取具体阵营索引译名。Imperial Guard 单列。
Imperial Guard	帝国卫队	暂定·语境区分	原文与 GW-01/GW-04 对照	英文旧称	与 Astra Militarum 指同一组织，本书保留两种英文称谓差异；不得与 Imperial Army 合并。
Imperial Army	帝国军	暂定·官方待核	原书英文语境	荷鲁斯之乱时期组织	沿最早18/25篇及原核心表，原稿别名帝国陆军；旧制包括后来拆出的海军，不与普通陆军及帝国卫队混同。
Chaos Space Marines	混沌星际战士	官方已核对	GW-01	阵营标题	删除太空海军陆战队等字面误译。
Death Guard	死亡守卫	官方已核对	GW-01	阵营标题	
Thousand Sons	千子	官方已核对	GW-01	阵营标题	
World Eaters	吞世者	官方已核对	GW-01	阵营标题	
Chaos Daemons	混沌恶魔	官方已核对	GW-01	阵营标题	
Aeldari	艾达灵族	官方已核对	GW-01	阵营标题	Eldar 是旧称，单列为灵族；两词不机械合并。
Eldar	灵族	暂定·语境区分	原书英文语境	旧称	与 Aeldari 对应同一族群；保持本书旧称与现行称谓的英文区别。
Drukhari	黑暗灵族	官方已核对	GW-01	阵营标题	Dark Eldar 为旧称，可用同一中文译名。
Dark Eldar	黑暗灵族	暂定·旧称对应	原书英文语境	Drukhari 的旧称	原译中的黑暗天使属于错误指代。
Tyranids	泰伦虫族	官方已核对	GW-01	阵营标题	语境明确时可简称虫族。
Genestealer Cults	基因窃取者教派	官方已核对	GW-01	阵营标题	
Leagues of Votann	沃坦联盟	官方已核对	GW-01	阵营标题	原译中的沃坎联盟归入旧译。
Necrons	太空死灵	官方已核对	GW-01	阵营标题	不将一般 dead 或 undead 自动译为太空死灵。
Orks	欧克蛮人	官方已核对	GW-01	阵营标题	Ork 为单数；兽人、欧克保留为原译别名。
T'au Empire	钛帝国	官方已核对	GW-01	阵营标题	Tau Empire 为拼写变体。
Psyker	灵能者	官方已核对	GW-04	PDF 第 21 页关键词	复数 psykers 同译。
Primaris Psyker	灵能导师	官方已核对	GW-04	PDF 第 21—22 页	Primaris 在此不指原铸星际战士。
Astropath	星语者	官方已核对	GW-04	PDF 第 25—26 页	人物；不得与 Astronomican 星炬混淆。
Librarian	智库员	官方已核对	GW-06	PDF 第 8—9 页	星际战士职务；原译智控、图书馆员需纠正。Chief Librarian 另行处理。
Librarius Conclave	智库密会	官方已核对	GW-06	PDF 第 8—9 页	
Biomancy	生物学派	官方已核对	GW-06	PDF 第 8—9 页	原译生化系。
Divination	预知学派	官方已核对	GW-06	PDF 第 8—9 页	一般语境的 divination 可译占卜，不套用学派名称。
Pyromancy	烈焰学派	官方已核对	GW-06	PDF 第 8—9 页	原译火术系。
Telekinesis	念动学派	官方已核对	GW-06	PDF 第 8—9 页	非学派语境可译念动力。
Telepathy	感应学派	官方已核对	GW-06	PDF 第 8—9 页	非学派语境可译心灵感应。
Deep Strike	深度打击	官方已核对	GW-05	PDF 第 16、37 页	原条目标题深入打击改为深度打击。
Terminator	终结者	官方已核对	GW-05	PDF 第 37 页	
Boltgun	爆矢枪	官方已核对	GW-05	PDF 第 37 页武器选项	Bolter 为常用同义称谓，但具体武器型号需单列。
Bolt Pistol	爆矢手枪	官方已核对	GW-05	PDF 第 37 页武器选项	
Chainsword	链锯剑	官方已核对	GW-04 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_chi_16.10.pdf；GW-11 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_eng_16.10.pdf	GW-04/GW-11同版索引第123页	逐项核读相同单位的中英文名称；Tempestors同名星际战士战团另作唤风者，不混并。
Commissar	政委	官方已核对	GW-04	PDF 第 51—52 页	
Ratling	莱特林	官方已核对	GW-04	PDF 第 57—58 页	
Ogryn	欧格林	官方已核对	GW-04	PDF 第 27—30 页	
Chimera	奇美拉	官方已核对	GW-04	PDF 第 97—98 页	在载具语境下使用。
Roboute Guilliman	罗保特·基里曼	官方已核对	GW-06	PDF 第 20 页	资料旧译罗伯特·基里曼、罗布特·基里曼等。
Ultramar	奥特拉玛	官方已核对	GW-06	PDF 第 20 页	地理名称，不与 Ultramarines 极限战士合并。
Ultramarines	极限战士	官方已核对	GW-06	PDF 第 20 页限制条款	
Be'lakor	比拉克尔	官方已核对	GW-07	黑暗主宰勘误条目	原译比拉克。
Horus Heresy	荷鲁斯之乱	官方已核对	GW-08	文章标题	保留荷鲁斯叛乱为旧译别名。
Astronomican	星炬	暂定	原书英文语境	导航信标	不与 Astropath 星语者或 Adeptus Astronomica 星炬庭混淆。
Adeptus Astronomica	星炬庭	暂定	原书英文语境	机构	不能省译成星炬而丢失机构含义。
Adeptus Astra Telepathica	星语庭	暂定	原书英文语境	机构	Astra Telepathica 为文中简写。
Scholastia Psykana	灵能学院	暂定	原书英文语境	机构	
Sanctioned Psyker	合法灵能者	暂定·官方待核	所给英文底稿	篇 0036	沿用核心术语；认可程序并不译为制裁。
Wyrdvane Psyker	战斗灵能者	暂定	原书英文语境	兵种	不将所有 battle psyker 自动当作本兵种。
Navigator	导航员	官方已核对	GW-09	GW-09 中文 PDF 第 24 页；GW-10 英文 PDF 第 24 页	依据同名单位对应核对；叙述中的同一人物或身份采用该译名。
Wayfinder	寻路者	暂定	原书英文语境	沃坦联盟导航职能	与灵族的 Way Seeker 寻道者区分，保留英文以便复核。
Way Seeker	寻道者	暂定	原书英文语境	灵族海盗灵能者	与 Pathfinder、Wayfinder 分开。
Void Dreamer	虚空梦行者	暂定	原书英文语境	灵族海盗灵能者	原译空梦者。
Soul Weaver	织魂者	暂定	原书英文语境	灵族海盗灵能者	
Warp	亚空间	官方已核对	GW-01	灰骑士与混沌恶魔介绍	一般动词 warp 不作术语替换。
Great Rift	大裂隙	官方已核对	GW-01	混沌星际战士介绍	Cicatrix Maledictum 为该现象的另一名称。
Cicatrix Maledictum	大裂隙	暂定·别名对应	原书英文语境	与 Great Rift 指同一现象	首处保留英文别名；原译诅咒灵能者化是误译。
Inquisition	审判庭	暂定	原书英文语境	机构	Inquisitor 为审判官，不能互换。
Inquisitor	审判官	官方已核对	GW-09	GW-09 中文 PDF 第 24 页；GW-10 英文 PDF 第 24 页	依据同名单位对应核对；叙述中的同一人物或身份采用该译名。
Imperium of Man	人类帝国	官方已核对	GW-03	设定介绍	Imperium 在明确语境下简称帝国。
Imperium	帝国	暂定·简称	原书英文语境	人类帝国的简称	不得据此将其他帝国名称统一替换。
Imperial Navy	帝国海军	暂定	原书英文语境	机构	不是星际战士，也不是陆战队。
