英文标准词	采用中文	译名状态	依据	定位	编辑说明
Slavery	奴隶制	编辑用语已统一	所给英文底稿	篇 0009	制度总称；文章题名“奴隶制度”可保留。
Iniquity	伊尼奎蒂	暂定·官方待核	所给英文底稿	篇 0009 图注	卫星名称；不能按普通形容词译为“邪恶卫星”。
Chapter Serf	战团农奴	暂定·官方待核	所给英文底稿	篇 0009	复数 Chapter Serfs；不与一般侍从混用。
helot	农奴；希洛人（古希腊语境）	暂定·官方待核	所给英文底稿	篇 0009	战锤劳役制度中按农奴理解；词源段落用“希洛人”。
Battle Barge	战斗驳船	暂定·官方待核	所给英文底稿	篇 0009	保留原译，待核官方。
Hive World	巢都世界	暂定·官方待核	所给英文底稿	篇 0009	复数 Hive Worlds。
Agri-World	农业世界	暂定·官方待核	所给英文底稿	篇 0009	变体 Agriworld；不把不同世界类型合并。
Shrine World	圣地世界	暂定·官方待核	所给英文底稿	篇 0009	保留原译，待核官方。
Forge World	铸造世界	官方已核对	GW-09	PDF 第 30 页等“铸造世界点数值”；GW-10 英文对应 Forge World	在设定中指世界类型；厂牌语境需另行判断。
Abhuman	亚人	暂定·官方待核	所给英文底稿	篇 0009	复数 Abhumans。
Mutant	变种人	暂定·官方待核	所给英文底稿	篇 0009	不与稳定亚人分支合并。
Underlord Hurango	下巢领主胡兰戈	暂定·官方待核	所给英文底稿	篇 0009	Underlord 为自称头衔。
Shock Whip	电击鞭	暂定·官方待核	所给英文底稿	篇 0009	复数 Shock Whips。
Necromunda	涅克罗蒙达	暂定·官方待核	所给英文底稿	篇 0009	沿用本批原译；其他常见异写尚待核对。
Gram Ironhand	格拉姆·铁手	暂定·官方待核	所给英文底稿	篇 0009 图注	保留原译。
Shackleman	锁人者	暂定·官方待核	所给英文底稿	篇 0009 图注	奴隶行会职务，保留原译。
Slave Guild	奴隶行会	暂定·官方待核	所给英文底稿	篇 0009	另见 Slaver Guilds 的描述性复数称呼。
Cirian System	西里安星系	暂定·官方待核	所给英文底稿	篇 0009 图注	专名。
Miners Guild	矿工行会	暂定·官方待核	所给英文底稿	篇 0009 图注	西里安星系的组织名称。
Age of Apostasy	叛教时代	暂定·官方待核	所给英文底稿	篇 0009	保留原译。
Goge Vandire	高戈·范迪尔	暂定·官方待核	所给英文底稿	篇 0009	保留原译。
Schola Progenium	忠嗣学院	暂定·官方待核	所给英文底稿	篇 0009	保留原译。
Frateris Templar	圣堂兄弟会	暂定·官方待核	所给英文底稿	篇 0009	不得与 Black Templars 黑色圣堂合并。
Brides of the Emperor	帝皇新娘	暂定·官方待核	所给英文底稿	篇 0009	历史组织称谓。
Krakin Feckward	克拉金·费克沃德	暂定·官方待核	所给英文底稿	篇 0009	行商浪人人名。
Navis Imperialis	帝国海军	暂定·官方待核	所给英文底稿	篇 0009	在本段与 Imperial Navy 同指；保留拉丁式名称作为检索键。
Rating	普通水手	暂定·官方待核	所给英文底稿	篇 0009	复数 ratings；海军语境不能译成额定值。
Shock-Stave	电击杖	暂定·官方待核	所给英文底稿	篇 0009	复数 Shock-Staves。
Alecto	阿勒克图	暂定·官方待核	所给英文底稿	篇 0009	巢都世界地名。
skin ring	人口贩运团伙	暂定·官方待核	所给英文底稿	篇 0009	依语境作说明性译名，原译“皮环”不通。
skin runner	人口贩子	暂定·官方待核	所给英文底稿	篇 0009	依语境说明性暂译。
Ark Mechanicus	机械方舟	暂定·官方待核	所给英文底稿	篇 0009	舰船类型。
Tutors	导师组织	暂定·官方待核	所给英文底稿	篇 0009	奴隶贩卖组织；不与 Sensei 合并。
House Goliath	歌利亚家族	暂定·官方待核	所给英文底稿	篇 0009	组织名与 Goliath 奴隶种族关联但不混作一条。
Goliath	歌利亚	暂定·官方待核	所给英文底稿	篇 0009	此处为奴隶种族；Goliaths 为复数。
House Van Saar	凡·萨尔家族	暂定·官方待核	所给英文底稿	篇 0009	保留原译。
House Escher	埃舍尔家族	暂定·官方待核	所给英文底稿	篇 0009	保留原译。
Magos Biologis	生物贤者	暂定·官方待核	所给英文底稿	篇 0009	技术祭司类别。
Lore Mechanicus	机械教律	暂定·官方待核	所给英文底稿	篇 0009	按此处严格教规的语境暂译。
Word Bearers	怀言者	暂定·官方待核	所给英文底稿	篇 0009、0013	军团名。
Dark Apostle	黑暗使徒	官方已核对	GW-09	PDF 第 15 页；GW-10 英文第 15 页	复数 Dark Apostles。
Daemon Prince	恶魔亲王	官方已核对	GW-09	PDF 第 12、15、18 页；GW-10 对应页	用官方单位称谓统一原译“恶魔王子”。
Black Legion	黑色军团	暂定·官方待核	所给英文底稿	篇 0009	保留原译。
Emperor's Children	帝皇之子	官方已核对	GW-09	PDF 第 21 页；GW-10 英文第 21 页	军团、阵营名称。
Noise Marine	噪音战士	官方已核对	GW-09	PDF 第 21 页；GW-10 英文第 21 页 Noise Marines	复数 Noise Marines。
Plague Marine	瘟疫战士	官方已核对	GW-09	PDF 第 18 页；GW-10 英文第 18 页 Plague Marines	复数 Plague Marines。
Slaanesh	色孽	官方已核对	GW-09	PDF 第 21 页“色孽恶魔亲王”；GW-10 第 21 页 Daemon Prince of Slaanesh	神名。
Kakophoni	卡科弗尼噪音部队	暂定·官方待核	所给英文底稿	篇 0009	保留英文作为检索依据；不是普通 Noise Marine 的泛称。
Legion Wars	军团战争	暂定·官方待核	所给英文底稿	篇 0009	保留原译。
Lords of Silence	寂静领主	暂定·官方待核	所给英文底稿	篇 0009	战帮名称。
Unbroken	不屈者	暂定·官方待核	所给英文底稿	篇 0009	寂静领主战帮自称；不与不屈时代 Indomitus 混合。
Unchanged	未变者	暂定·官方待核	所给英文底稿	篇 0009	战帮对凡人仆役的称呼，英文具有反讽意味。
Iron Warriors	钢铁勇士	暂定·官方待核	所给英文底稿	篇 0009	军团名。
Night Lords	午夜领主	暂定·官方待核	所给英文底稿	篇 0009	军团名。
Tzaangor	奸角兽	官方已核对	GW-09	PDF 第 36 页；GW-10 英文第 35 页 Tzaangors	复数 Tzaangors。
Planet of Sorcerers	巫师之星	暂定·官方待核	所给英文底稿	篇 0009	原译“巫师行星”；此处作为专名统一。
Chaos Spawn	混沌魔物	官方已核对	GW-09	PDF 第 15、21 页；GW-10 对应页	原书常译“混沌卵”，本批采用所核官方译名。
Faenroc	法恩罗克	暂定·官方待核	所给英文底稿	篇 0009	人名，保留原译。
Asdrubael Vect	阿斯杜巴尔·维克特	暂定·官方待核	所给英文底稿	篇 0009	人名，保留原译。
Kabal	阴谋团	暂定·官方待核	所给英文底稿	篇 0009	复数 Kabals；组织与 Kabalite Warrior 单位分开登记。
Archon	执政官	官方已核对	GW-09	PDF 第 20 页；GW-10 英文第 20 页	此处特指黑暗灵族人物类型，不泛用作其他政治职务译名依据。
Wych	巫灵	官方已核对	GW-09	PDF 第 20 页；GW-10 英文第 20 页 Wyches	复数 Wyches。
Mandrake	曼德拉	官方已核对	GW-09	PDF 第 20 页；GW-10 英文第 20 页 Mandrakes	黑暗灵族单位，非植物普通名。
Haemonculus	血伶人	官方已核对	GW-09	PDF 第 20 页；GW-10 英文第 20 页	复数 Haemonculi。
Aelindrach	艾林德拉赫	暂定·官方待核	所给英文底稿	篇 0009	次级领域名称。
Wych Cult	巫灵教派	暂定·官方待核	所给英文底稿	篇 0009	组织名称；Wych 的官方单位译名不单独证明整个词组定译。
Asuryani	阿苏焉尼	暂定·官方待核	所给英文底稿	篇 0009	方舟灵族自称，保留原译。
Exodite	蛮荒灵族	暂定·官方待核	所给英文底稿	篇 0009	复数 Exodites。
Maiden World	少女世界	暂定·官方待核	所给英文底稿	篇 0009	世界类型。
Corsair	海盗	暂定·官方待核	所给英文底稿	篇 0009	需要物种语境；不与欧克 Freebooter 合并。
Corsair Prince	海盗亲王	官方已核对	GW-09	PDF 第 7 页海盗劫掠团强化；GW-10 英文第 7 页 Corsair Prince	一般身份用法仍以叙述语境为准；原译“海盗王子”。
Mekboy	技师小子	暂定·官方待核	所给英文底稿	篇 0009	复数 Mekboyz；未将新规则中的 Mek 单位名直接套用到全部语境。
Gretchin	屁精	官方已核对	GW-09	PDF 第 30 页；GW-10 英文第 29 页	Grot/Grots 为同义简称，原译“埋汰精”不另立族群。
Snotling	鼻涕精	暂定·官方待核	所给英文底稿	篇 0009	Snotlings 为复数，Snots 为简称。
Runtz	小崽子	暂定·官方待核	所给英文底稿	篇 0009	欧克对小型奴仆的称呼；Runts 也见于原文。
Runtherd	牧奴者	暂定·官方待核	所给英文底稿	篇 0009	原译“矮子牧者”；暂以职责定译。
Rigorous	严峻号	暂定·官方待核	所给英文底稿	篇 0009	舰名，原译“严格号”。
Las-Drill	激光钻	暂定·官方待核	所给英文底稿	篇 0009	复数 Las-Drills。
Squig	史古格	暂定·官方待核	所给英文底稿	篇 0009	保留本批原译；新版单位名称有“跳跳”等用法，尚不据此强并整个物种称谓。
Teef	牙币	暂定·官方待核	所给英文底稿	篇 0009	欧克用牙齿作货币；叙述中可写“几颗牙”。
Freebooter	流寇	暂定·官方待核	所给英文底稿	篇 0009	此处为欧克群体称谓。
