段落ID,篇号,原译,校订译文,说明
A0001-B0002,1,灵能者是一种表现出使用灵能力量的能力的生物。许多种族都有这些人，而其他种族天生就没有通灵能力，从不产生灵能者，比如星神和太空死灵，他们鄙视灵能者，甚至设计出积极寻找并摧毁他们的战士。有些种族，比如艾达灵族，天生具有灵能能力。,灵能者是能够运用灵能力量的生命体。许多种族中都有灵能者，另一些种族则天生不具备灵能，永远不会产生这样的个体。星神和太空死灵便属于后者；太空死灵甚至专门制造战士，主动搜寻并消灭灵能者。还有一些种族，例如灵族，天生就具备灵能。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0006,1,灵能能力最常见的是来自亚空间，但欧克的力量来自他们的集体Waaagh!。,灵能力量通常源自亚空间，但欧克蛮人从群体产生的 Waaagh! 能量中汲取力量。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0008,1,灵能力量有多种形式，从预测敌人的行动到投射毁灭性的灵能能量。有些甚至可以帮助部队进行更具毁灭性的攻击。,灵能力量的表现形式多种多样，既可以用来预知敌人的行动，也可以化为具有毁灭力的能量束。有些灵能还能增强部队的攻击威力。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0009,1,Psychic Disciplines and Techniques 灵能学派和技巧,Psychic Disciplines and Techniques 灵能学派与技巧,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0011,1,尽管灵能者的力量多种多样，但它们通常属于几个学派之一。最常见的五种是：,灵能者的能力虽然千差万别，通常仍可归入若干学派。其中最常见的五种是：,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0013,1,生化系：操纵生物能量和过程。,生物学派：操控生物能量与生理过程。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0015,1,占卜系：预测未来。,预知学派：预见未来。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0017,1,火术系：操纵火焰。,烈焰学派：操控火焰。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0019,1,念力系：将灵能能量转化为物理力量。,念动学派：将灵能转化为物理作用力。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0021,1,传心系：接触和控制他人的思想。,感应学派：接触并控制他人的心智。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0023,1,其他灵能学派包括恶魔系、圣言系、智库系、科技系、爆发系、控地系、圣血系、交互系、暴风系、影预系、圣火系、不屈系、风语系、野兽系和共鸣系。,其他灵能学派还包括恶魔学派（Daemonology）、圣言学派（Theosophamy）、智库学派（Librarius）、科技学派（Technomancy）、雷霆学派（Fulmination）、控地学派（Geokinesis）、圣血学派（Sanguinary）、审讯学派（Interromancy）、风暴学派（Tempestas）、幽影学派（Umbramancy）、普罗米修斯学派（Promethean）、不屈学派（Indomitus）、风语学派（Stormspeaking）、虫语学派（Verminspeaking）和共感学派（Empathy）。,本段其余学派暂用工作译名并保留英文，待获得对应官方中文出处后再定稿；前述五大学派已核对官方阵营包。
A0001-B0024,1,Psychic Foci 灵能焦点,Psychic Foci 灵能聚焦手段,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
